Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
1,0.5,1.0,0.42500000000000004,0.0,0.0,0.04954740352548832,0,0,1
1,1.0,1.0,0.3375,0.0,0.16666666666666666,0.04754645069080514,0,0,1
1,0.5,1.0,0.1,0.0,0.3333333333333333,0.10004764173415912,0,0,1
0,0.0,0.0,0.375,0.0,0.0,0.10119104335397808,0,0,1
0,0.0,0.0,0.6125,0.125,0.16666666666666666,0.42261381610290616,1,0,0
1,0.0,1.0,0.4375,0.0,0.0,0.10119104335397808,0,0,1
0,1.0,1.0,0.48750000000000004,0.125,0.8333333333333333,0.11919961886612672,0,0,1
1,0.5,1.0,0.6000000000000001,0.125,0.3333333333333333,0.24773701762744163,0,0,1
0,1.0,0.0,0.36250000000000004,0.125,0.0,0.026853930443068125,0,0,1
0,0.0,0.0,0.8125,0.0,0.16666666666666666,0.23622372558361124,1,0,0
1,0.0,0.0,0.3375,0.0,0.0,0.11624583134826107,0,0,1
1,0.0,1.0,0.2625,0.0,0.0,0.040019056693663645,0,0,1
1,0.5,1.0,0.30000000000000004,0.125,0.3333333333333333,0.24773701762744163,0,0,1
0,1.0,0.0,0.275,0.0,0.0,0.030681276798475467,0,0,1
1,1.0,1.0,0.375,0.0,0.0,0.029490233444497378,0,1,0
0,0.5,0.0,0.4,0.0,0.0,0.040019056693663645,0,0,1
1,0.5,1.0,0.6000000000000001,0.125,0.3333333333333333,0.24773701762744163,0,0,1
1,0.5,1.0,0.42500000000000004,0.0,0.16666666666666666,0.08766079085278704,0,0,1
1,0.5,0.0,0.037500000000000006,0.125,0.16666666666666666,0.09909480705097665,0,0,1
0,0.5,0.0,0.4,0.125,0.0,0.1146100047641734,1,0,0
1,0.0,1.0,0.625,0.25,0.0,0.5093854216293473,0,0,1
1,1.0,1.0,0.325,0.0,0.0,0.029935016674606952,0,0,1
1,0.5,1.0,0.07500000000000001,0.0,0.16666666666666666,0.12577417818008574,0,0,1
1,0.5,1.0,0.23750000000000002,0.0,0.0,0.09909480705097665,0,0,1
0,1.0,1.0,0.025,0.5,0.3333333333333333,0.11919961886612672,0,0,1
0,1.0,0.0,0.875,0.0,0.0,0.0295378751786565,0,1,0
0,0.5,0.0,0.28750000000000003,0.0,0.0,0.04954740352548832,0,0,1
1,0.0,1.0,0.625,0.0,0.16666666666666666,0.9433856121962839,1,0,0
1,0.0,0.0,0.6000000000000001,0.125,0.0,0.29244097189137686,1,0,0
1,0.0,1.0,0.675,0.125,0.0,0.298300905192949,1,0,0
0,1.0,0.0,0.25,0.0,0.0,0.03020485945688423,0,0,1
1,0.5,1.0,0.6000000000000001,0.125,0.3333333333333333,0.24773701762744163,0,0,1
1,1.0,1.0,0.1625,0.0,0.0,0.027552929966650784,1,0,0
1,1.0,0.0,0.36250000000000004,0.0,0.0,0.0295378751786565,0,1,0
1,0.5,1.0,0.30000000000000004,0.0,0.0,0.04954740352548832,0,0,1
0,1.0,1.0,0.46875,0.0,0.3333333333333333,0.0295378751786565,0,1,0
0,1.0,0.0,0.35000000000000003,0.25,0.0,0.03020485945688423,0,0,1
0,1.0,0.0,0.17500000000000002,0.5,0.16666666666666666,0.15126250595521676,0,0,1
1,0.5,1.0,0.525,0.0,0.0,0.04954740352548832,0,0,1
0,1.0,0.0,0.375,0.0,0.0,0.03009356836588852,1,0,0
1,0.5,1.0,0.025,0.125,0.16666666666666666,0.09909480705097665,0,0,1
1,1.0,1.0,0.4375,0.125,0.16666666666666666,0.0771796093377799,0,0,1
0,1.0,0.0,0.925,0.0,0.0,0.02963315864697475,0,0,1
1,1.0,1.0,0.375,0.0,0.0,0.029490233444497378,0,1,0
1,1.0,0.0,0.037500000000000006,0.5,0.3333333333333333,0.11962839447355883,0,0,1
0,0.5,0.0,0.7125,0.0,0.0,0.047070033349213905,0,1,0
1,1.0,0.0,0.4,0.0,0.0,0.03020485945688423,0,0,1
0,0.0,0.0,0.3375,0.0,0.3333333333333333,0.8060981419723677,1,0,0
0,0.5,1.0,0.47500000000000003,0.0,0.0,0.04954740352548832,0,0,1
0,1.0,1.0,0.1125,0.375,0.3333333333333333,0.10633635064316341,0,0,1
0,1.0,0.0,0.525,0.0,0.0,0.029156741305383517,0,0,1
1,0.5,1.0,0.1,0.0,0.3333333333333333,0.10004764173415912,0,0,1
0,1.0,0.0,0.05,0.5,0.16666666666666666,0.1110052405907575,0,1,0
1,0.5,0.0,0.037500000000000006,0.125,0.16666666666666666,0.07146260123868509,0,0,1
0,0.5,0.0,0.45,0.0,0.0,0.04907098618389709,1,0,0
0,1.0,0.0,0.25,0.0,0.0,0.03620771796093378,0,0,1
1,1.0,1.0,0.4375,0.125,0.16666666666666666,0.0771796093377799,0,0,1
0,1.0,0.0,0.55,0.0,0.0,0.030681276798475467,0,0,1
1,0.5,1.0,0.28750000000000003,0.0,0.0,0.05256484040019057,1,0,0
1,0.0,0.0,0.375,0.0,0.0,0.11624583134826107,0,0,1
0,1.0,0.0,0.36250000000000004,0.0,0.0,0.02963315864697475,0,0,1
0,0.5,0.0,0.30000000000000004,0.0,0.0,0.040019056693663645,0,0,1
1,1.0,0.0,0.23750000000000002,0.0,0.0,0.030681276798475467,0,0,1
1,0.5,0.0,0.525,0.0,0.0,0.04954740352548832,0,0,1
1,0.0,1.0,0.41250000000000003,0.125,0.0,0.20238208670795615,0,0,1
0,1.0,0.0,0.275,0.0,0.0,0.03430204859456884,0,0,1
0,1.0,1.0,0.07500000000000001,0.5,0.3333333333333333,0.11919961886612672,0,0,1
1,0.5,1.0,0.30000000000000004,0.0,0.0,0.04954740352548832,0,0,1
0,0.0,0.0,0.45,0.125,0.0,0.3005240590757503,0,0,1
1,0.5,0.0,0.0125,0.25,0.16666666666666666,0.14864221057646498,0,0,1
0,0.5,0.0,0.5750000000000001,0.0,0.0,0.09909480705097665,0,0,1
0,0.5,0.0,0.48750000000000004,0.0,0.0,0.04954740352548832,0,0,1
0,1.0,0.0,0.375,0.0,0.0,0.02983973320628871,0,1,0
1,1.0,1.0,0.1625,0.0,0.0,0.027552929966650784,1,0,0
1,0.0,0.0,0.35000000000000003,0.0,0.0,0.13530252501191042,0,0,1
0,1.0,0.0,0.5,0.0,0.0,0.03009356836588852,0,0,1
1,0.0,1.0,0.375,0.0,0.0,0.030030300142925202,0,0,1
1,0.5,1.0,0.0625,0.25,0.16666666666666666,0.07339990471653167,0,0,1
1,1.0,1.0,0.0125,0.125,0.16666666666666666,0.042432777513101476,0,0,1
1,1.0,1.0,0.375,0.125,0.0,0.09204383039542638,0,1,0
0,1.0,0.0,0.375,0.0,0.0,0.026139304430681274,0,1,0
0,1.0,0.0,0.47500000000000003,0.0,0.0,0.03009356836588852,0,0,1
1,0.5,1.0,0.30000000000000004,0.25,0.5,0.07146260123868509,0,0,1
0,1.0,0.0,0.0125,0.625,0.3333333333333333,0.17875178656503096,0,0,1
1,0.0,0.0,0.6000000000000001,0.125,0.0,0.1981896141019533,0,0,1
0,0.5,0.0,0.225,0.0,0.0,0.04383039542639352,0,0,1
0,1.0,0.0,0.2625,0.0,0.0,0.03020485945688423,0,0,1
1,1.0,1.0,0.1625,0.0,0.0,0.027552929966650784,1,0,0
0,1.0,0.0,0.09375,0.375,0.16666666666666666,0.0970622201048118,0,0,1
0,1.0,0.0,0.5875,0.0,0.0,0.027632205812291567,0,0,1
1,0.0,1.0,0.625,0.0,0.16666666666666666,0.9433856121962839,1,0,0
0,1.0,0.0,0.325,0.0,0.0,0.03006193425440686,0,0,1
1,0.0,1.0,0.41250000000000003,0.125,0.0,0.3430204859456884,0,1,0
0,1.0,0.0,0.23750000000000002,0.0,0.0,0.029156741305383517,0,0,1
1,0.0,1.0,0.325,0.0,0.0,0.3005240590757503,0,0,1
1,0.5,1.0,0.42500000000000004,0.0,0.0,0.04954740352548832,0,0,1
0,1.0,1.0,0.5625,0.0,0.0,0.0295378751786565,0,0,1
0,1.0,0.0,0.25,0.0,0.0,0.027632205812291567,0,0,1
1,0.0,1.0,0.375,0.125,0.0,0.558440400190567,1,0,0
0,1.0,0.0,0.41250000000000003,0.0,0.0,0.03009356836588852,1,0,0
0,0.5,0.0,0.225,0.0,0.0,0.04954740352548832,0,0,1
0,1.0,1.0,0.36250000000000004,0.0,0.6666666666666666,0.08032396379228203,0,0,1
1,0.0,1.0,0.375,0.0,0.0,0.12577417818008574,0,0,1
1,0.0,1.0,0.4,0.0,0.0,0.04954740352548832,0,0,1
0,1.0,1.0,0.025,0.375,0.3333333333333333,0.10633635064316341,0,0,1
1,0.0,1.0,0.6625000000000001,0.25,0.0,0.1962046688899476,0,0,1
1,0.0,1.0,0.5375,0.0,0.16666666666666666,0.8054787994282991,0,0,1
0,1.0,0.0,0.30000000000000004,0.0,0.0,0.029712434492615528,0,0,1
0,0.0,0.0,0.625,0.125,0.0,0.2130538351595998,0,0,1
1,0.5,1.0,0.1875,0.0,0.16666666666666666,0.8054787994282991,0,0,1
0,0.5,0.0,0.625,0.0,0.0,0.04954740352548832,0,0,1
0,1.0,0.0,0.23750000000000002,0.0,0.0,0.02963315864697475,0,0,1
1,0.5,1.0,0.05,0.25,0.16666666666666666,0.14864221057646498,0,0,1
1,0.5,1.0,0.1,0.0,0.3333333333333333,0.10004764173415912,0,0,1
0,0.5,0.0,0.45,0.0,0.0,0.04954740352548832,0,0,1
1,1.0,1.0,0.375,0.0,0.0,0.0295378751786565,0,1,0
1,0.5,1.0,0.5625,0.0,0.0,0.05145307289185326,0,0,1
1,0.0,0.0,0.05,0.0,0.3333333333333333,0.3119897093854216,0,0,1
1,0.0,0.0,0.375,0.0,0.0,0.10119104335397808,0,0,1
1,0.5,0.0,0.525,0.0,0.0,0.04954740352548832,0,0,1
1,1.0,1.0,0.025,0.0,0.16666666666666666,0.04683182467841829,0,0,1
0,1.0,0.0,0.375,0.0,0.0,0.030681276798475467,0,0,1
1,0.0,1.0,0.55,0.0,0.0,0.10565335874225822,1,0,0
0,0.5,0.0,0.23750000000000002,0.0,0.0,0.04954740352548832,0,0,1
0,1.0,0.0,0.2625,0.0,0.0,0.03214216293473082,0,0,1
0,0.5,0.0,0.6000000000000001,0.0,0.0,0.04954740352548832,0,0,1
1,0.5,1.0,0.4,0.0,0.0,0.04954740352548832,0,0,1
1,1.0,1.0,0.23750000000000002,0.0,0.0,0.030030300142925202,0,1,0
0,1.0,1.0,0.375,0.0,0.0,0.031014768937589324,0,1,0
0,1.0,1.0,0.5875,0.125,0.0,0.055264411624583135,0,0,1
1,0.0,1.0,0.45,0.125,0.3333333333333333,0.4573606479275845,0,0,1
0,1.0,0.0,0.5125000000000001,0.25,0.0,0.05377151024297284,0,0,1
1,0.0,1.0,0.375,0.0,0.0,0.32968080038113384,0,0,1
1,0.5,1.0,0.037500000000000006,0.125,0.3333333333333333,0.15847241543592186,1,0,0
1,1.0,1.0,0.375,0.0,0.0,0.02968080038113387,0,1,0
1,0.0,1.0,0.275,0.125,0.0,0.2538351595998094,0,0,1
1,0.5,0.0,0.775,0.0,0.0,0.040019056693663645,0,0,1
0,1.0,1.0,0.21250000000000002,0.0,0.0,0.055105478799428294,1,0,0
1,1.0,1.0,0.025,0.0,0.16666666666666666,0.04683182467841829,0,0,1
0,1.0,0.0,0.375,0.0,0.0,0.029442591710338254,0,1,0
1,1.0,1.0,0.375,0.25,0.0,0.0886136255359695,0,1,0
0,1.0,0.0,0.6375000000000001,0.0,0.0,0.026885945688423056,0,0,1
0,1.0,0.0,0.8125,0.0,0.0,0.0295378751786565,0,1,0
1,0.5,1.0,0.275,0.125,0.16666666666666666,0.11052882324916627,0,0,1
1,0.5,1.0,0.625,0.0,0.16666666666666666,0.09909480705097665,0,0,1
0,1.0,0.0,0.25,0.0,0.0,0.029935016674606952,0,0,1
1,0.5,1.0,0.45,0.0,0.0,0.04954740352548832,0,0,1
0,0.0,0.0,0.625,0.125,0.0,0.4056217246307765,1,0,0
1,0.0,0.0,0.375,0.0,0.0,0.10119104335397808,0,0,1
0,1.0,0.0,0.41250000000000003,0.0,0.0,0.03620771796093378,0,0,1
1,0.5,1.0,0.6000000000000001,0.125,0.3333333333333333,0.24773701762744163,0,0,1
0,1.0,0.0,0.375,0.0,0.0,0.033206288708909,1,0,0
1,1.0,1.0,0.275,0.0,0.3333333333333333,0.08521505478799428,1,0,0
0,1.0,0.0,0.275,0.0,0.0,0.027552929966650784,1,0,0
